Timestamp,City,Weather Type,Latitude,Longitude,Temperature (°C),Feels Like (°C),Min Temp (°C),Max Temp (°C),Humidity (%),Pressure (hPa),Wind Speed (m/s),Wind Direction (°),Cloudiness (%),Weather Condition,Rain (Last 1h) (mm),Snow (Last 1h) (mm),Sunrise,Sunset,Rain (3h) (mm),Snow (3h) (mm)
2025-02-03 11:00:41.643510,Mumbai,Current,19.0144,72.8479,27.99,28.18,26.94,27.99,47,1010,4.63,300,66,smoke,0.0,0.0,2025-02-03 01:42:11,2025-02-03 13:02:36,,
2025-02-03 12:00:00.000000,Mumbai,Forecast,19.0144,72.8479,27.99,28.18,25.18,27.99,47,1011,7.03,316,56,broken clouds,,,2025-02-03 01:42:11,2025-02-03 13:02:36,0.0,0.0
2025-02-03 15:00:00.000000,Mumbai,Forecast,19.0144,72.8479,26.88,27.48,24.67,26.88,53,1012,5.31,331,55,broken clouds,,,2025-02-03 01:42:11,2025-02-03 13:02:36,0.0,0.0
2025-02-03 18:00:00.000000,Mumbai,Forecast,19.0144,72.8479,25.71,25.82,24.57,25.71,57,1012,3.4,337,53,broken clouds,,,2025-02-03 01:42:11,2025-02-03 13:02:36,0.0,0.0
2025-02-03 21:00:00.000000,Mumbai,Forecast,19.0144,72.8479,24.0,24.23,24.0,24.0,68,1012,5.06,341,7,clear sky,,,2025-02-03 01:42:11,2025-02-03 13:02:36,0.0,0.0
2025-02-04 00:00:00.000000,Mumbai,Forecast,19.0144,72.8479,23.52,23.62,23.52,23.52,65,1012,3.63,353,11,few clouds,,,2025-02-03 01:42:11,2025-02-03 13:02:36,0.0,0.0
2025-02-04 03:00:00.000000,Mumbai,Forecast,19.0144,72.8479,23.54,23.57,23.54,23.54,62,1014,2.6,8,66,broken clouds,,,2025-02-03 01:42:11,2025-02-03 13:02:36,0.0,0.0
2025-02-04 06:00:00.000000,Mumbai,Forecast,19.0144,72.8479,25.35,25.48,25.35,25.35,59,1015,4.17,330,42,scattered clouds,,,2025-02-03 01:42:11,2025-02-03 13:02:36,0.0,0.0
2025-02-04 09:00:00.000000,Mumbai,Forecast,19.0144,72.8479,24.86,25.05,24.86,24.86,63,1012,8.55,325,19,few clouds,,,2025-02-03 01:42:11,2025-02-03 13:02:36,0.0,0.0
2025-02-04 12:00:00.000000,Mumbai,Forecast,19.0144,72.8479,24.8,24.82,24.8,24.8,57,1011,8.63,329,28,scattered clouds,,,2025-02-03 01:42:11,2025-02-03 13:02:36,0.0,0.0
2025-02-04 15:00:00.000000,Mumbai,Forecast,19.0144,72.8479,24.86,24.84,24.86,24.86,55,1013,7.74,337,41,scattered clouds,,,2025-02-03 01:42:11,2025-02-03 13:02:36,0.0,0.0
2025-02-04 18:00:00.000000,Mumbai,Forecast,19.0144,72.8479,24.68,24.59,24.68,24.68,53,1013,6.09,350,48,scattered clouds,,,2025-02-03 01:42:11,2025-02-03 13:02:36,0.0,0.0
2025-02-04 21:00:00.000000,Mumbai,Forecast,19.0144,72.8479,23.98,23.71,23.98,23.98,49,1011,5.01,3,17,few clouds,,,2025-02-03 01:42:11,2025-02-03 13:02:36,0.0,0.0
2025-02-05 00:00:00.000000,Mumbai,Forecast,19.0144,72.8479,23.41,23.06,23.41,23.41,48,1011,5.5,5,24,few clouds,,,2025-02-03 01:42:11,2025-02-03 13:02:36,0.0,0.0
2025-02-05 03:00:00.000000,Mumbai,Forecast,19.0144,72.8479,22.92,22.44,22.92,22.92,45,1013,5.73,15,9,clear sky,,,2025-02-03 01:42:11,2025-02-03 13:02:36,0.0,0.0
2025-02-05 06:00:00.000000,Mumbai,Forecast,19.0144,72.8479,25.42,25.09,25.42,25.42,41,1013,5.15,351,9,clear sky,,,2025-02-03 01:42:11,2025-02-03 13:02:36,0.0,0.0
2025-02-05 09:00:00.000000,Mumbai,Forecast,19.0144,72.8479,26.25,26.25,26.25,26.25,48,1009,8.36,327,0,clear sky,,,2025-02-03 01:42:11,2025-02-03 13:02:36,0.0,0.0
2025-02-05 12:00:00.000000,Mumbai,Forecast,19.0144,72.8479,24.65,24.61,24.65,24.65,55,1009,11.07,330,0,clear sky,,,2025-02-03 01:42:11,2025-02-03 13:02:36,0.0,0.0
